a
,1079,96,1034,-10,932,-10
,932,-10,788,-10,782,165
,782,165,657,-14,434,-14
,434,-14,299,-14,209,57
,209,57,113,135,113,266
,113,266,113,589,664,623
,768,629
,768,666,768,974,526,974
,526,974,365,974,307,867
,307,867,365,858,365,793
,365,793,365,705,275,705
,275,705,176,705,176,805
,176,805,176,889,270,959
,270,959,382,1043,537,1043
,537,1043,897,1043,897,684
,897,268,897,63,967,63
,967,63,1010,63,1040,125
,1079,96,768,276
,768,557
,768,557
,682,553,256,532,256,278
,256,278,256,184,315,124
,315,124,373,67,461,67
,461,67,581,67,676,141

b
,340,834,465,1038,684,1038
,684,1038,854,1038,975,917
,975,917,1120,772,1120,522
,1120,522,1120,270,973,122
,973,122,848,-2,680,-2
,680,-2,467,-2,344,170
,277,4
,207,4
,207,1276,207,1370,162,1388
,162,1388,131,1401,31,1401
,31,1464,205,1467,340,1495
,340,834,340,639
,340,373
,340,373,340,245,473,150
,473,150,564,84,666,84
,666,84,821,84,907,231
,907,231,975,345,975,518
,975,518,975,749,856,868
,856,868,770,954,656,954
,656,954,505,954,403,813

c
,1010,248,875,-12,596,-12
,596,-12,392,-12,258,125
,258,125,117,269,117,508
,117,508,117,758,267,908
,267,908,398,1043,602,1043
,602,1043,774,1043,889,953
,889,953,977,883,977,803
,977,803,977,698,883,698
,883,698,793,698,793,782
,793,782,793,841,842,862
,842,862,768,974,609,974
,609,974,430,974,341,814
,341,814,269,686,269,519
,269,519,269,330,367,207
,367,207,465,82,621,82
,621,82,831,82,951,293

d
,1208,20
,901,20
,891,196,772,-2,553,-2
,553,-2,379,-2,260,116
,260,116,117,260,117,514
,117,514,117,768,264,915
,264,915,387,1038,555,1038
,555,1038,769,1038,895,860
,895,1274,895,1369,848,1388
,848,1388,817,1401,713,1401
,713,1464,881,1464,1028,1495
,1028,209,1028,113,1083,92
,1083,92,1123,77,1208,77
,1208,20,895,416
,895,686
,895,686,895,798,770,887
,770,887,681,954,573,954
,573,954,433,954,346,833
,346,833,262,712,262,520
,262,520,262,314,358,193
,358,193,447,82,582,82
,582,82,727,82,823,215

e
,1032,543
,260,543
,260,508,260,306,383,180
,383,180,486,78,633,78
,633,78,853,78,973,291
,1028,248,897,-12,609,-12
,609,-12,395,-12,256,127
,256,127,117,270,117,510
,117,510,117,765,264,912
,264,912,392,1043,590,1043
,590,1043,782,1043,901,920
,901,920,1032,789,1032,580
,1032,543,893,621
,887,797,791,894
,791,894,708,974,588,974
,588,974,445,974,350,849
,350,849,282,760,267,621

f
,243,1008
,243,1147,243,1319,339,1415
,339,1415,423,1499,554,1499
,554,1499,682,1499,759,1438
,759,1438,802,1401,802,1352
,802,1352,802,1262,720,1262
,720,1262,632,1262,632,1341
,632,1341,632,1377,656,1405
,656,1405,624,1437,560,1437
,560,1437,378,1437,378,1147
,378,1008
,661,1008
,661,932
,378,932
,378,206,378,118,425,96
,425,96,468,77,564,77
,564,20
,67,20
,67,77,136,77,175,90
,175,90,243,111,243,206
,243,932
,53,932
,53,1008

g
,762,998,872,1126,987,1126
,987,1126,1087,1126,1087,1040
,1087,1040,1087,965,1013,965
,1013,965,947,965,944,1043
,944,1043,863,1033,817,969
,817,969,954,878,954,699
,954,699,954,512,796,422
,796,422,697,365,569,365
,569,365,486,365,391,390
,391,390,317,359,317,304
,317,304,317,202,544,187
,659,179,1046,151,1046,-98
,1046,-98,1046,-228,929,-311
,929,-311,799,-405,567,-405
,567,-405,365,-405,233,-331
,233,-331,100,-257,100,-127
,100,-127,100,71,397,117
,397,123,202,167,202,281
,202,281,202,381,325,418
,325,418,139,501,139,688
,139,688,139,854,278,956
,278,956,391,1038,546,1038
,546,1038,670,1038,762,998,544,967
,426,967,350,891
,350,891,274,816,274,693
,274,693,274,435,546,435
,546,435,684,435,759,517
,759,517,823,586,823,701
,823,701,823,813,749,887
,749,887,672,967,544,967,555,80
,235,80,235,-114
,235,-114,235,-221,337,-280
,337,-280,425,-331,565,-331
,565,-331,765,-331,860,-233
,860,-233,911,-182,911,-112

h
,1226,20
,733,20
,733,77,798,77,845,88
,845,88,911,106,911,207
,911,637,911,946,684,946
,684,946,462,946,370,701
,370,207,370,115,417,96
,417,96,463,77,548,77
,548,20
,55,20
,55,77,127,77,169,90
,169,90,235,108,235,207
,235,1276,235,1369,188,1388
,188,1388,157,1401,57,1401
,57,1464,226,1467,370,1495
,370,836,502,1034,712,1034
,712,1034,1048,1034,1048,666
,1048,207,1048,115,1095,96
,1095,96,1141,77,1226,77

i
,323,1470,367,1470,397,1439
,397,1439,428,1408,428,1365
,428,1365,428,1263,323,1263
,323,1263,221,1263,221,1365
,221,1365,221,1470,323,1470,565,20
,78,20
,78,20
,78,77,145,77,188,90
,188,90,256,108,256,207
,256,819,256,916,207,934
,207,934,176,946,78,946
,78,1008,245,1011,391,1041
,391,207,391,115,438,96
,438,96,484,77,565,77

j
,323,1470,366,1470,397,1439
,397,1439,428,1408,428,1365
,428,1365,428,1263,323,1263
,323,1263,221,1263,221,1365
,221,1365,221,1470,323,1470,389,1041
,389,-59
,389,-59,389,-407,102,-407
,102,-407,8,-407,-56,-356
,-56,-356,-111,-310,-111,-255
,-111,-255,-111,-157,-14,-157
,-14,-157,74,-157,74,-241
,74,-241,74,-299,18,-317
,18,-317,47,-352,102,-352
,102,-352,256,-352,256,-77
,256,820,256,916,207,934
,207,934,173,947,78,947

k
,1144,20
,718,20
,718,77,825,77,825,120
,825,120,825,141,778,200
,493,543
,370,440
,370,207,370,115,417,96
,417,96,463,77,554,77
,554,20
,55,20
,55,77,127,77,169,90
,169,90,235,108,235,207
,235,1276,235,1370,188,1388
,188,1388,157,1401,57,1401
,57,1464,226,1467,370,1495
,370,526
,726,824,790,875,790,905
,790,905,790,945,657,948
,657,1008
,1099,1008
,1099,948,988,939,857,834
,587,614
,915,223,1035,77,1144,77

l
,552,20
,55,20
,55,77,121,77,167,90
,167,90,237,105,237,206
,237,1276,237,1369,190,1388
,190,1388,159,1401,57,1401
,57,1464,222,1467,372,1495
,372,206,372,113,427,92
,427,92,467,77,552,77

m
,1806,20
,1311,20
,1311,77,1389,77,1438,94
,1438,94,1491,109,1491,207
,1491,633,1491,795,1456,858
,1456,858,1403,948,1292,948
,1292,948,1093,948,1010,701
,1010,207,1010,114,1055,96
,1055,96,1101,77,1190,77
,1190,20
,692,20
,692,77,764,77,807,90
,807,90,873,108,873,207
,873,635,873,804,840,860
,840,860,789,948,680,948
,680,948,478,948,395,703
,395,207,395,114,440,96
,440,96,486,77,573,77
,573,20
,78,20
,78,77,151,77,190,90
,190,90,258,108,258,207
,258,819,258,916,209,934
,209,934,175,946,78,946
,78,1008,259,1011,389,1041
,389,834,504,1034,703,1034
,703,1034,945,1034,987,811
,987,811,1098,1034,1321,1034
,1321,1034,1628,1034,1628,666
,1628,207,1628,110,1685,92
,1685,92,1726,77,1804,77
,1806,77

n
,1249,20
,756,20
,756,77
,758,77,822,77,866,88
,866,88,934,106,934,207
,934,637,934,946,706,946
,706,946,484,946,395,701
,395,207,395,113,450,92
,450,92,490,77,571,77
,571,20
,78,20
,78,77,151,77,190,90
,190,90,258,108,258,207
,258,819,258,916,209,934
,209,934,175,946,78,946
,78,1008,254,1011,387,1041
,387,826,513,1034,735,1034
,735,1034,1071,1034,1071,666
,1071,207,1071,114,1130,92
,1130,92,1168,77,1249,77

o
,603,1047,805,1047,942,910
,942,910,1090,762,1090,523
,1090,523,1090,270,942,123
,942,123,804,-12,603,-12
,603,-12,400,-12,264,123
,264,123,117,270,117,518
,117,518,117,762,267,912
,267,912,402,1047,603,1047,603,976
,451,976,359,847
,359,847,269,722,269,518
,269,518,269,303,367,180
,367,180,457,65,603,65
,603,65,784,65,871,225
,871,225,938,351,938,516
,938,516,938,733,840,859

p
,372,842,498,1038,712,1038
,712,1038,886,1038,1005,919
,1005,919,1148,776,1148,522
,1148,522,1148,272,1001,125
,1001,125,879,0,710,0
,710,0,493,0,376,176
,376,-166,376,-250,421,-274
,421,-274,456,-295,562,-295
,562,-352
,57,-352
,57,-295,144,-291,184,-278
,184,-278,239,-263,239,-166
,239,817,239,918,192,934
,192,934,158,946,61,946
,61,1008,242,1011,372,1041
,372,842,376,655
,376,336
,376,336,376,239,497,150
,497,150,587,84,694,84
,694,84,851,84,937,231
,937,231,1003,347,1003,518
,1003,518,1003,752,884,868
,884,868,800,952,685,952
,685,952,537,952,440,815

q
,1202,-352
,709,-352
,709,-295,798,-291,838,-278
,838,-278,893,-263,893,-166
,893,207,773,-2,553,-2
,553,-2,381,-2,262,116
,262,116,117,262,117,512
,117,512,117,760,267,909
,267,909,393,1038,569,1038
,569,1038,785,1038,905,869
,961,1024
,1030,1024
,1030,-166,1030,-254,1077,-276
,1077,-276,1117,-295,1202,-295
,1202,-352,891,389
,891,701
,891,701,891,803,772,889
,772,889,687,952,580,952
,580,952,434,952,348,829
,348,829,262,709,262,520
,262,520,262,316,358,195
,358,195,446,82,584,82
,584,82,728,82,823,215

r
,385,780,431,891,528,973
,528,973,614,1041,710,1041
,710,1041,827,1041,827,936
,827,936,827,842,741,842
,741,842,655,842,655,926
,655,926,655,931,659,955
,659,955,579,948,495,852
,495,852,429,774,395,662
,395,207,395,114,440,96
,440,96,486,77,579,77
,579,20
,78,20
,78,77,151,77,190,90
,190,90,258,108,258,207
,258,819,258,916,209,934
,209,934,175,946,80,946
,80,1008,255,1011,385,1041

s
,764,705,748,821,682,888
,682,888,596,974,475,974
,475,974,375,974,309,908
,309,908,262,858,262,789
,262,789,262,669,469,604
,522,588,693,533,764,479
,764,479,866,402,866,274
,866,274,866,122,751,45
,751,45,662,-16,532,-16
,532,-16,417,-16,287,55
,287,55,243,81,219,81
,219,81,186,81,186,10
,127,10
,127,385
,190,385,200,240,278,162
,278,162,378,59,528,59
,528,59,741,59,741,248
,741,248,741,331,678,383
,678,383,635,417,479,471
,418,492,277,538,229,578
,229,578,139,649,139,764
,139,764,139,876,223,957
,223,957,315,1043,463,1043
,463,1043,591,1043,692,982
,692,982,721,965,741,965
,741,965,764,965,770,1024
,821,1024
,821,705

t
,682,113,578,-25,438,-25
,438,-25,211,-25,211,233
,211,932
,37,932
,37,996,164,999,215,1074
,215,1074,260,1137,285,1287
,346,1287
,346,1008
,649,1008
,649,932
,346,932
,346,272,346,63,473,63
,473,63,564,63,637,158

u
,1216,20
,913,20
,903,186,780,-20,557,-20
,557,-20,219,-20,219,346
,219,819,219,919,174,934
,174,934,140,943,43,946
,43,1008,216,1011,354,1041
,354,377,354,66,581,66
,581,66,688,66,778,137
,778,137,867,211,901,338
,901,822,901,913,852,934
,852,934,824,946,723,946
,723,1008,878,1011,1034,1041
,1034,207,1034,114,1093,92
,1093,92,1133,77,1216,77

v
,1106,951,980,948,934,834
,586,-27
,514,-27
,174,811,138,900,96,928
,96,928,66,947,-2,951
,-2,1008
,432,1008
,432,951,299,948,299,875
,299,875,299,854,313,819
,571,139
,838,817,854,860,854,879
,854,879,854,948,707,951
,707,1008
,1106,1008

w
,1610,951,1481,948,1444,840
,1137,-27
,1071,-27
,817,690
,535,-27
,465,-27
,172,811,126,948,-2,951
,-2,1008
,426,1008
,426,951,291,948,291,879
,291,879,291,855,305,817
,535,158
,778,789
,770,811,743,898,713,922
,713,922,682,947,598,951
,598,1008
,1018,1008
,1018,951,885,948,885,879
,885,879,885,862,901,813
,1126,158
,1348,817,1362,858,1362,885
,1362,885,1362,948,1215,951
,1215,1008
,1610,1008

x
,1073,20
,633,20
,633,77,756,77,756,118
,756,118,756,137,707,205
,516,463
,287,184,252,140,252,118
,252,118,252,77,391,77
,391,20
,0,20
,0,77,111,77,219,211
,469,518
,244,811,189,884,150,916
,150,916,108,945,27,948
,27,1008
,461,1008
,461,948,340,945,340,905
,340,905,340,884,389,819
,557,596
,760,846,795,890,795,910
,795,910,795,945,649,948
,649,1008
,1042,1008
,1042,948,984,948,950,930
,950,930,906,909,827,815
,602,545
,850,217,950,81,1073,77

y
,1106,951,978,948,932,834
,508,-221,437,-399,295,-399
,295,-399,148,-399,148,-282
,148,-282,148,-184,246,-184
,246,-184,334,-184,334,-272
,334,-272,334,-286,332,-292
,328,-311,399,-308,444,-186
,524,29
,176,811,140,893,104,922
,104,922,73,948,-2,951
,-2,1008
,432,1008
,432,951,299,948,299,883
,299,883,299,864,315,822
,588,181
,838,818,852,852,852,875
,852,875,852,948,711,951
,711,1008
,1106,1008

z
,885,336
,869,20
,68,20
,68,80
,697,945
,443,945,275,945,220,890
